,name,top1_acc,batch_size,requires_grad,mean_time,mean_vram,n_params
0,vit_s_8,80.0,8,False,24.187053903620292,91.078125,21670272
1,vit_b_32,75.912,8,False,6.788958303551925,337.173828125,88224232
2,vgg11,69.02,8,False,3.326469212162251,507.208984375,132863336
3,vgg11_bn,70.37,8,False,3.794313565971925,507.255859375,132868840
4,resnet18,69.758,8,False,2.164100385967054,44.6904296875,11689512
5,densenet121,74.434,8,False,12.99940579063014,30.85888671875,7978856
6,mobilenet_v3_small,67.668,8,False,4.708013345797856,9.80517578125,2542856
7,vit_s_8,80.0,8,True,24.260502298672993,83.609375,21670272
8,vit_b_32,75.912,8,True,7.405970525741577,337.173828125,88224232
9,vgg11,69.02,8,True,3.3393040100733438,507.208984375,132863336
10,vgg11_bn,70.37,8,True,4.046887103957359,507.255859375,132868840
11,resnet18,69.758,8,True,3.0764833600897536,44.6904296875,11689512
12,densenet121,74.434,8,True,18.795726398845297,30.85888671875,7978856
13,mobilenet_v3_small,67.668,8,True,6.7020868984135715,9.80517578125,2542856
